score, v[0], v[1], v[2], v[3], v[4], v[5], v[6], v[7], v[8], v[9], v[10], v[11]
30, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
31, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12
31, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13
31, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12
31, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13
32, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14
32, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15
32, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 14
32, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 15
32, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13
32, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12
32, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13
32, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12
32, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 13
33, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16
33, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 17
33, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 16
33, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 17
33, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 14
33, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 15
33, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 14
33, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 15
33, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 14
33, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 15
33, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13
33, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13
33, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 14
33, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 15
33, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13
33, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13
33, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12
33, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13
33, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12
33, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13
34, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 18
34, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 19
34, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 18
34, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 19
34, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 16
34, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17
34, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 16
34, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 17
34, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 15
34, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 16
34, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 17
34, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 14
34, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 15
34, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 14
34, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 15
34, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 14
34, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 15
34, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 13, 14
34, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 13, 15
34, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 16
34, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 17
34, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 14
34, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 15
34, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 13, 14
34, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 13, 15
34, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 14
34, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 15
34, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 13, 14
34, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 13, 15
34, 0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13
34, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 14
34, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 15
34, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13
34, 0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13
34, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 14
34, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 15
34, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13
34, 0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13
34, 0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12
34, 0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 13
34, 0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12
34, 0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13
35, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 20
35, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 21
35, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 20
35, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 21
35, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 18
