score, v[0], v[1], v[2], v[3], v[4]
10, 0, 1, 2, 3, 4
11, 0, 1, 2, 3, 5
12, 0, 1, 2, 3, 6
12, 0, 1, 2, 4, 5
13, 0, 1, 2, 3, 7
13, 0, 1, 2, 4, 6
13, 0, 1, 3, 4, 5
14, 0, 1, 2, 3, 8
14, 0, 1, 2, 4, 7
14, 0, 1, 2, 5, 6
14, 0, 1, 3, 4, 6
14, 0, 2, 3, 4, 5
15, 0, 1, 2, 3, 9
15, 0, 1, 2, 4, 8
15, 0, 1, 2, 5, 7
15, 0, 1, 3, 4, 7
15, 0, 1, 3, 5, 6
15, 0, 2, 3, 4, 6
15, 1, 2, 3, 4, 5
16, 0, 1, 2, 3, 10
16, 0, 1, 2, 4, 9
16, 0, 1, 2, 5, 8
16, 0, 1, 2, 6, 7
16, 0, 1, 3, 4, 8
16, 0, 1, 3, 5, 7
16, 0, 1, 4, 5, 6
16, 0, 2, 3, 4, 7
16, 0, 2, 3, 5, 6
16, 1, 2, 3, 4, 6
17, 0, 1, 2, 3, 11
17, 0, 1, 2, 4, 10
17, 0, 1, 2, 5, 9
17, 0, 1, 2, 6, 8
17, 0, 1, 3, 4, 9
17, 0, 1, 3, 5, 8
17, 0, 1, 3, 6, 7
17, 0, 1, 4, 5, 7
17, 0, 2, 3, 4, 8
17, 0, 2, 3, 5, 7
17, 0, 2, 4, 5, 6
17, 1, 2, 3, 4, 7
17, 1, 2, 3, 5, 6
18, 0, 1, 2, 3, 12
18, 0, 1, 2, 4, 11
18, 0, 1, 2, 5, 10
18, 0, 1, 2, 6, 9
18, 0, 1, 2, 7, 8
18, 0, 1, 3, 4, 10
18, 0, 1, 3, 5, 9
18, 0, 1, 3, 6, 8
18, 0, 1, 4, 5, 8
18, 0, 1, 4, 6, 7
18, 0, 2, 3, 4, 9
18, 0, 2, 3, 5, 8
18, 0, 2, 3, 6, 7
18, 0, 2, 4, 5, 7
18, 0, 3, 4, 5, 6
18, 1, 2, 3, 4, 8
18, 1, 2, 3, 5, 7
18, 1, 2, 4, 5, 6
19, 0, 1, 2, 3, 13
19, 0, 1, 2, 4, 12
19, 0, 1, 2, 5, 11
19, 0, 1, 2, 6, 10
19, 0, 1, 2, 7, 9
19, 0, 1, 3, 4, 11
19, 0, 1, 3, 5, 10
19, 0, 1, 3, 6, 9
19, 0, 1, 3, 7, 8
19, 0, 1, 4, 5, 9
19, 0, 1, 4, 6, 8
19, 0, 1, 5, 6, 7
19, 0, 2, 3, 4, 10
19, 0, 2, 3, 5, 9
19, 0, 2, 3, 6, 8
19, 0, 2, 4, 5, 8
19, 0, 2, 4, 6, 7
19, 0, 3, 4, 5, 7
19, 1, 2, 3, 4, 9
19, 1, 2, 3, 5, 8
19, 1, 2, 3, 6, 7
19, 1, 2, 4, 5, 7
19, 1, 3, 4, 5, 6
20, 0, 1, 2, 3, 14
20, 0, 1, 2, 4, 13
20, 0, 1, 2, 5, 12
20, 0, 1, 2, 6, 11
20, 0, 1, 2, 7, 10
20, 0, 1, 2, 8, 9
20, 0, 1, 3, 4, 12
20, 0, 1, 3, 5, 11
20, 0, 1, 3, 6, 10
20, 0, 1, 3, 7, 9
20, 0, 1, 4, 5, 10
20, 0, 1, 4, 6, 9
20, 0, 1, 4, 7, 8
20, 0, 1, 5, 6, 8
20, 0, 2, 3, 4, 11
20, 0, 2, 3, 5, 10
20, 0, 2, 3, 6, 9
20, 0, 2, 3, 7, 8
20, 0, 2, 4, 5, 9
20, 0, 2, 4, 6, 8
20, 0, 2, 5, 6, 7
20, 0, 3, 4, 5, 8
20, 0, 3, 4, 6, 7
20, 1, 2, 3, 4, 10
20, 1, 2, 3, 5, 9
20, 1, 2, 3, 6, 8
20, 1, 2, 4, 5, 8
20, 1, 2, 4, 6, 7
20, 1, 3, 4, 5, 7
20, 2, 3, 4, 5, 6
21, 0, 1, 2, 3, 15
21, 0, 1, 2, 4, 14
21, 0, 1, 2, 5, 13
21, 0, 1, 2, 6, 12
21, 0, 1, 2, 7, 11
21, 0, 1, 2, 8, 10
21, 0, 1, 3, 4, 13
21, 0, 1, 3, 5, 12
21, 0, 1, 3, 6, 11
21, 0, 1, 3, 7, 10
21, 0, 1, 3, 8, 9
21, 0, 1, 4, 5, 11
21, 0, 1, 4, 6, 10
21, 0, 1, 4, 7, 9
21, 0, 1, 5, 6, 9
21, 0, 1, 5, 7, 8
21, 0, 2, 3, 4, 12
21, 0, 2, 3, 5, 11
21, 0, 2, 3, 6, 10
21, 0, 2, 3, 7, 9
21, 0, 2, 4, 5, 10
21, 0, 2, 4, 6, 9
21, 0, 2, 4, 7, 8
21, 0, 2, 5, 6, 8
21, 0, 3, 4, 5, 9
21, 0, 3, 4, 6, 8
21, 0, 3, 5, 6, 7
21, 1, 2, 3, 4, 11
21, 1, 2, 3, 5, 10
21, 1, 2, 3, 6, 9
21, 1, 2, 3, 7, 8
21, 1, 2, 4, 5, 9
21, 1, 2, 4, 6, 8
21, 1, 2, 5, 6, 7
21, 1, 3, 4, 5, 8
21, 1, 3, 4, 6, 7
21, 2, 3, 4, 5, 7
22, 0, 1, 2, 3, 16
22, 0, 1, 2, 4, 15
22, 0, 1, 2, 5, 14
22, 0, 1, 2, 6, 13
22, 0, 1, 2, 7, 12
22, 0, 1, 2, 8, 11
22, 0, 1, 2, 9, 10
22, 0, 1, 3, 4, 14
22, 0, 1, 3, 5, 13
22, 0, 1, 3, 6, 12
22, 0, 1, 3, 7, 11
22, 0, 1, 3, 8, 10
22, 0, 1, 4, 5, 12
22, 0, 1, 4, 6, 11
22, 0, 1, 4, 7, 10
22, 0, 1, 4, 8, 9
22, 0, 1, 5, 6, 10
22, 0, 1, 5, 7, 9
22, 0, 1, 6, 7, 8
22, 0, 2, 3, 4, 13
22, 0, 2, 3, 5, 12
22, 0, 2, 3, 6, 11
22, 0, 2, 3, 7, 10
22, 0, 2, 3, 8, 9
22, 0, 2, 4, 5, 11
22, 0, 2, 4, 6, 10
22, 0, 2, 4, 7, 9
22, 0, 2, 5, 6, 9
22, 0, 2, 5, 7, 8
22, 0, 3, 4, 5, 10
22, 0, 3, 4, 6, 9
22, 0, 3, 4, 7, 8
22, 0, 3, 5, 6, 8
22, 0, 4, 5, 6, 7
22, 1, 2, 3, 4, 12
22, 1, 2, 3, 5, 11
22, 1, 2, 3, 6, 10
22, 1, 2, 3, 7, 9
22, 1, 2, 4, 5, 10
22, 1, 2, 4, 6, 9
22, 1, 2, 4, 7, 8
22, 1, 2, 5, 6, 8
22, 1, 3, 4, 5, 9
22, 1, 3, 4, 6, 8
22, 1, 3, 5, 6, 7
22, 2, 3, 4, 5, 8
22, 2, 3, 4, 6, 7
23, 0, 1, 2, 3, 17
23, 0, 1, 2, 4, 16
23, 0, 1, 2, 5, 15
23, 0, 1, 2, 6, 14
23, 0, 1, 2, 7, 13
23, 0, 1, 2, 8, 12
23, 0, 1, 2, 9, 11
23, 0, 1, 3, 4, 15
23, 0, 1, 3, 5, 14
23, 0, 1, 3, 6, 13
23, 0, 1, 3, 7, 12
23, 0, 1, 3, 8, 11
23, 0, 1, 3, 9, 10
23, 0, 1, 4, 5, 13
23, 0, 1, 4, 6, 12
23, 0, 1, 4, 7, 11
23, 0, 1, 4, 8, 10
23, 0, 1, 5, 6, 11
23, 0, 1, 5, 7, 10
23, 0, 1, 5, 8, 9
23, 0, 1, 6, 7, 9
23, 0, 2, 3, 4, 14
23, 0, 2, 3, 5, 13
23, 0, 2, 3, 6, 12
23, 0, 2, 3, 7, 11
23, 0, 2, 3, 8, 10
23, 0, 2, 4, 5, 12
23, 0, 2, 4, 6, 11
23, 0, 2, 4, 7, 10
23, 0, 2, 4, 8, 9
23, 0, 2, 5, 6, 10
23, 0, 2, 5, 7, 9
23, 0, 2, 6, 7, 8
23, 0, 3, 4, 5, 11
23, 0, 3, 4, 6, 10
23, 0, 3, 4, 7, 9
23, 0, 3, 5, 6, 9
23, 0, 3, 5, 7, 8
23, 0, 4, 5, 6, 8
23, 1, 2, 3, 4, 13
23, 1, 2, 3, 5, 12
23, 1, 2, 3, 6, 11
23, 1, 2, 3, 7, 10
23, 1, 2, 3, 8, 9
23, 1, 2, 4, 5, 11
23, 1, 2, 4, 6, 10
23, 1, 2, 4, 7, 9
23, 1, 2, 5, 6, 9
23, 1, 2, 5, 7, 8
23, 1, 3, 4, 5, 10
23, 1, 3, 4, 6, 9
23, 1, 3, 4, 7, 8
23, 1, 3, 5, 6, 8
23, 1, 4, 5, 6, 7
23, 2, 3, 4, 5, 9
23, 2, 3, 4, 6, 8
23, 2, 3, 5, 6, 7
24, 0, 1, 2, 3, 18
24, 0, 1, 2, 4, 17
24, 0, 1, 2, 5, 16
24, 0, 1, 2, 6, 15
24, 0, 1, 2, 7, 14
24, 0, 1, 2, 8, 13
24, 0, 1, 2, 9, 12
24, 0, 1, 2, 10, 11
24, 0, 1, 3, 4, 16
24, 0, 1, 3, 5, 15
24, 0, 1, 3, 6, 14
24, 0, 1, 3, 7, 13
24, 0, 1, 3, 8, 12
24, 0, 1, 3, 9, 11
24, 0, 1, 4, 5, 14
24, 0, 1, 4, 6, 13
24, 0, 1, 4, 7, 12
24, 0, 1, 4, 8, 11
24, 0, 1, 4, 9, 10
24, 0, 1, 5, 6, 12
24, 0, 1, 5, 7, 11
24, 0, 1, 5, 8, 10
24, 0, 1, 6, 7, 10
24, 0, 1, 6, 8, 9
24, 0, 2, 3, 4, 15
24, 0, 2, 3, 5, 14
24, 0, 2, 3, 6, 13
24, 0, 2, 3, 7, 12
24, 0, 2, 3, 8, 11
24, 0, 2, 3, 9, 10
24, 0, 2, 4, 5, 13
24, 0, 2, 4, 6, 12
24, 0, 2, 4, 7, 11
24, 0, 2, 4, 8, 10
24, 0, 2, 5, 6, 11
24, 0, 2, 5, 7, 10
24, 0, 2, 5, 8, 9
24, 0, 2, 6, 7, 9
24, 0, 3, 4, 5, 12
24, 0, 3, 4, 6, 11
24, 0, 3, 4, 7, 10
24, 0, 3, 4, 8, 9
24, 0, 3, 5, 6, 10
24, 0, 3, 5, 7, 9
24, 0, 3, 6, 7, 8
24, 0, 4, 5, 6, 9
24, 0, 4, 5, 7, 8
24, 1, 2, 3, 4, 14
24, 1, 2, 3, 5, 13
24, 1, 2, 3, 6, 12
24, 1, 2, 3, 7, 11
24, 1, 2, 3, 8, 10
